cost_record_id,facility_id,facility_name,building_id,building_name,timestamp,occupancy,electricity_kwh,hvac_kwh,lighting_kwh,water_liters,electricity_cost,water_cost,maintenance_cost,security_cost,operational_cost,total_cost,expected_cost,cost_variance,cost_variance_percent,potential_savings,cost_per_occupant,inefficiency_type,cost_status,savings_priority,is_cost_inefficiency
COST-000384,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-07 15:00:00,106,609.05,291.64,117.48,231.65,5176.94,12.74,390.9,162.39,285.47,6028.44,5954.56,73.88,1.24,73.88,56.87,NONE,NORMAL,LOW,0
COST-000385,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-07 16:00:00,103,601.91,282.43,97.8,441.48,5116.22,24.28,353.35,168.21,265.3,5927.37,5954.56,-27.2,-0.46,4.86,57.55,HIGH_WATER_USAGE,NORMAL,LOW,1
COST-000386,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-07 17:00:00,44,425.73,212.12,84.66,121.72,3618.72,6.69,498.91,177.52,248.11,4549.95,4402.78,147.18,3.34,147.18,103.41,NONE,NORMAL,LOW,0
COST-000387,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-07 18:00:00,40,470.97,201.19,81.47,128.04,4003.24,7.04,474.36,191.55,258.23,4934.42,4402.78,531.64,12.08,531.64,123.36,NONE,WARNING,HIGH,0
COST-000388,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-07 19:00:00,35,378.52,188.0,57.9,109.47,3217.4,6.02,350.23,178.8,258.61,4011.06,4402.78,-391.72,-8.9,0.0,114.6,NONE,NORMAL,NORMAL,0
COST-000389,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-07 20:00:00,40,432.07,192.58,80.62,119.19,3672.57,6.56,386.95,195.57,230.25,4491.9,4402.78,89.12,2.02,89.12,112.3,NONE,NORMAL,LOW,0
COST-000390,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-07 21:00:00,14,289.81,134.41,38.34,85.62,2463.4,4.71,404.5,167.8,272.2,3312.62,3295.55,17.07,0.52,17.07,236.62,NONE,NORMAL,LOW,0
COST-000391,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-07 22:00:00,12,294.95,143.28,39.76,76.28,2507.04,4.2,493.67,185.82,226.99,3417.72,3295.55,122.17,3.71,122.17,284.81,NONE,NORMAL,LOW,0
COST-000392,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-07 23:00:00,12,300.31,134.65,56.56,69.1,2552.61,3.8,438.79,175.44,240.92,3411.55,3295.55,116.01,3.52,116.01,284.3,NONE,NORMAL,LOW,0
COST-000393,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 00:00:00,8,221.16,99.43,39.21,73.43,1879.88,4.04,366.54,167.65,285.53,2703.63,2853.23,-149.6,-5.24,0.0,337.95,NONE,NORMAL,NORMAL,0
COST-000394,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 01:00:00,8,232.47,97.68,44.53,73.6,1976.0,4.05,374.87,180.09,278.06,2813.06,2853.23,-40.17,-1.41,0.0,351.63,NONE,NORMAL,NORMAL,0
COST-000395,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 02:00:00,8,245.35,116.68,38.82,78.09,2085.45,4.3,407.98,188.33,285.31,2971.37,2853.23,118.14,4.14,118.14,371.42,NONE,NORMAL,LOW,0
COST-000396,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 03:00:00,9,237.83,110.55,44.98,75.32,2021.58,4.14,399.68,194.94,240.59,2860.94,2853.23,7.71,0.27,7.71,317.88,NONE,NORMAL,LOW,0
COST-000397,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 04:00:00,8,253.97,117.25,38.5,136.6,2158.72,7.51,455.76,187.08,246.3,3055.37,2853.23,202.14,7.08,203.64,381.92,HIGH_WATER_USAGE,WARNING,MEDIUM,1
COST-000398,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 05:00:00,9,222.17,111.72,41.64,72.76,1888.43,4.0,358.24,175.76,269.31,2695.74,2853.23,-157.49,-5.52,0.0,299.53,NONE,NORMAL,NORMAL,0
COST-000399,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 06:00:00,54,383.4,199.26,54.97,106.09,3258.91,5.84,369.28,164.36,290.2,4088.59,4182.18,-93.59,-2.24,0.0,75.71,NONE,NORMAL,NORMAL,0
COST-000400,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 07:00:00,40,387.14,197.45,71.37,102.28,3290.7,5.63,430.99,177.92,283.18,4188.42,4182.18,6.24,0.15,6.24,104.71,NONE,NORMAL,LOW,0
COST-000401,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 08:00:00,51,420.31,185.3,78.32,124.45,3572.66,6.84,475.47,196.14,244.76,4495.86,4182.18,313.69,7.5,313.69,88.15,NONE,WARNING,MEDIUM,0
COST-000402,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 09:00:00,102,560.12,242.72,74.22,193.97,4761.03,10.67,371.9,177.12,221.76,5542.48,5954.56,-412.09,-6.92,0.0,54.34,NONE,NORMAL,NORMAL,0
COST-000403,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 10:00:00,109,626.13,321.58,115.65,191.76,5322.06,10.55,397.17,182.38,221.49,6133.65,5954.56,179.09,3.01,179.09,56.27,NONE,NORMAL,LOW,0
COST-000404,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 11:00:00,96,600.42,280.95,109.64,198.21,5103.56,10.9,422.21,169.0,228.27,5933.94,5954.56,-20.62,-0.35,0.0,61.81,NONE,NORMAL,NORMAL,0
COST-000405,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 12:00:00,92,585.07,249.6,89.06,204.01,4973.09,11.22,368.47,163.82,269.86,5786.46,5954.56,-168.11,-2.82,0.0,62.9,NONE,NORMAL,NORMAL,0
COST-000406,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 13:00:00,102,555.82,244.47,98.04,193.89,4724.49,10.66,463.53,188.19,258.78,5645.65,5954.56,-308.91,-5.19,0.0,55.35,NONE,NORMAL,NORMAL,0
COST-000407,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 14:00:00,110,675.14,287.58,97.63,219.12,5738.72,12.05,459.3,174.48,252.8,6637.35,5954.56,682.79,11.47,682.79,60.34,NONE,WARNING,HIGH,0
COST-000408,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 15:00:00,102,594.72,296.94,101.66,208.75,5055.16,11.48,470.88,170.87,297.13,6005.53,5954.56,50.96,0.86,50.96,58.88,NONE,NORMAL,LOW,0
COST-000409,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 16:00:00,91,546.34,238.99,75.69,215.38,4643.89,11.85,468.81,167.08,263.56,5555.18,5954.56,-399.39,-6.71,0.0,61.05,NONE,NORMAL,NORMAL,0
COST-000410,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 17:00:00,38,429.62,176.08,56.9,143.77,3651.8,7.91,341.04,178.0,260.36,4439.11,4402.78,36.33,0.83,36.33,116.82,NONE,NORMAL,LOW,0
COST-000411,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 18:00:00,47,395.54,182.28,69.08,106.64,3362.06,5.87,447.78,180.03,271.3,4267.03,4402.78,-135.75,-3.08,0.0,90.79,NONE,NORMAL,NORMAL,0
COST-000412,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 19:00:00,33,414.35,179.61,57.61,119.48,3522.01,6.57,437.34,180.85,240.78,4387.54,4402.78,-15.23,-0.35,0.0,132.96,NONE,NORMAL,NORMAL,0
COST-000413,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 20:00:00,38,321.67,136.19,56.5,129.78,2734.17,7.14,421.96,164.2,243.45,3570.91,4402.78,-831.86,-18.89,0.0,93.97,NONE,NORMAL,NORMAL,0
COST-000414,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 21:00:00,13,299.69,131.52,52.83,82.28,2547.34,4.53,378.18,185.42,237.56,3353.02,3295.55,57.48,1.74,57.48,257.92,NONE,NORMAL,LOW,0
COST-000415,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 22:00:00,13,272.1,112.54,54.36,85.08,2312.82,4.68,357.23,163.0,269.57,3107.31,3295.55,-188.24,-5.71,0.0,239.02,NONE,NORMAL,NORMAL,0
COST-000416,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-08 23:00:00,11,294.67,134.94,54.34,85.22,2504.7,4.69,457.67,179.73,270.41,3417.2,3295.55,121.66,3.69,121.66,310.65,NONE,NORMAL,LOW,0
COST-000417,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 00:00:00,8,254.6,126.46,43.65,81.26,2164.11,4.47,357.42,190.81,288.31,3005.12,2853.23,151.89,5.32,151.89,375.64,NONE,WARNING,LOW,0
COST-000418,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 01:00:00,6,236.18,122.57,42.72,76.04,2007.53,4.18,503.06,183.8,245.02,2943.59,2853.23,90.36,3.17,90.36,490.6,NONE,NORMAL,LOW,0
COST-000419,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 02:00:00,8,252.05,118.4,37.24,75.41,2142.43,4.15,390.74,166.6,255.5,2959.42,2853.23,106.19,3.72,106.19,369.93,NONE,NORMAL,LOW,0
COST-000420,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 03:00:00,8,235.42,119.67,44.4,75.53,2001.03,4.15,357.21,191.28,293.09,2846.78,2853.23,-6.45,-0.23,0.0,355.85,NONE,NORMAL,NORMAL,0
COST-000421,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 04:00:00,8,181.78,79.66,35.01,68.56,1545.16,3.77,485.72,162.49,246.17,2443.32,2853.23,-409.91,-14.37,0.0,305.41,NONE,NORMAL,NORMAL,0
COST-000422,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 05:00:00,9,215.13,88.43,40.24,77.94,1828.58,4.29,474.37,194.36,264.14,2765.74,2853.23,-87.49,-3.07,0.0,307.3,NONE,NORMAL,NORMAL,0
COST-000423,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 06:00:00,45,422.62,202.84,84.19,124.86,3592.28,6.87,359.19,164.92,285.72,4408.97,4182.18,226.79,5.42,226.79,97.98,NONE,WARNING,MEDIUM,0
COST-000424,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 07:00:00,40,388.21,159.37,52.26,133.92,3299.8,7.37,413.92,173.52,258.16,4152.77,4182.18,-29.41,-0.7,0.0,103.82,NONE,NORMAL,NORMAL,0
COST-000425,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 08:00:00,46,335.21,168.66,57.48,120.2,2849.33,6.61,447.99,166.3,265.67,3735.9,4182.18,-446.28,-10.67,0.0,81.22,NONE,NORMAL,NORMAL,0
COST-000426,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 09:00:00,119,630.68,284.51,125.9,199.74,5360.82,10.99,467.1,186.25,280.86,6306.02,5954.56,351.46,5.9,351.46,52.99,NONE,WARNING,MEDIUM,0
COST-000427,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 10:00:00,104,516.31,255.87,75.52,214.96,4388.6,11.82,383.42,172.73,242.67,5199.24,5954.56,-755.32,-12.68,0.0,49.99,NONE,NORMAL,NORMAL,0
COST-000428,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 11:00:00,89,626.16,313.01,124.16,230.47,5322.32,12.68,347.2,163.73,244.06,6089.99,5954.56,135.43,2.27,135.43,68.43,NONE,NORMAL,LOW,0
COST-000429,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 12:00:00,105,629.67,272.4,99.45,238.68,5352.17,13.13,500.14,181.61,231.58,6278.63,5954.56,324.07,5.44,324.07,59.8,NONE,WARNING,MEDIUM,0
COST-000430,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 13:00:00,116,640.31,282.04,125.44,222.85,5442.62,12.26,459.04,195.27,297.06,6406.25,5954.56,451.68,7.59,451.68,55.23,NONE,WARNING,MEDIUM,0
COST-000431,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 14:00:00,99,634.46,327.37,110.38,213.67,5392.94,11.75,398.16,181.82,282.62,6267.29,5954.56,312.73,5.25,312.73,63.31,NONE,WARNING,MEDIUM,0
COST-000432,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 15:00:00,110,630.27,278.25,117.93,180.65,5357.28,9.94,348.89,167.98,225.77,6109.84,5954.56,155.28,2.61,155.28,55.54,NONE,NORMAL,LOW,0
COST-000433,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 16:00:00,94,597.93,247.36,117.12,207.96,5082.38,11.44,336.03,184.1,269.08,5883.04,5954.56,-71.53,-1.2,0.0,62.59,NONE,NORMAL,NORMAL,0
COST-000434,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 17:00:00,46,350.06,159.15,55.68,114.03,2975.49,6.27,358.74,169.12,235.08,3744.69,4402.78,-658.08,-14.95,0.0,81.41,NONE,NORMAL,NORMAL,0
COST-000435,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 18:00:00,42,366.22,151.38,69.87,114.98,3112.91,6.32,342.4,184.32,275.46,3921.41,4402.78,-481.37,-10.93,0.0,93.37,NONE,NORMAL,NORMAL,0
COST-000436,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 19:00:00,39,393.6,162.94,58.17,120.67,3345.58,6.64,425.04,186.42,267.24,4230.91,4402.78,-171.87,-3.9,0.0,108.48,NONE,NORMAL,NORMAL,0
COST-000437,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 20:00:00,40,407.57,206.01,68.91,120.05,3464.38,6.6,423.98,173.49,257.65,4326.1,4402.78,-76.68,-1.74,0.0,108.15,NONE,NORMAL,NORMAL,0
COST-000438,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 21:00:00,13,257.31,112.65,47.71,82.73,2187.16,4.55,396.45,173.05,236.23,2997.43,3295.55,-298.12,-9.05,0.0,230.57,NONE,NORMAL,NORMAL,0
COST-000439,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 22:00:00,11,309.59,160.53,47.3,92.84,2631.5,5.11,414.88,177.22,298.66,3527.36,3295.55,231.81,7.03,231.81,320.67,NONE,WARNING,MEDIUM,0
COST-000440,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-09 23:00:00,10,293.98,139.39,45.25,79.42,2498.85,4.37,338.17,170.16,265.22,3276.76,3295.55,-18.79,-0.57,0.0,327.68,NONE,NORMAL,NORMAL,0
COST-000441,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 00:00:00,9,207.79,83.72,28.71,75.49,1766.18,4.15,462.36,194.6,286.16,2713.44,2853.23,-139.78,-4.9,0.0,301.49,NONE,NORMAL,NORMAL,0
COST-000442,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 01:00:00,8,229.67,97.36,34.11,68.47,1952.15,3.77,347.44,169.85,293.96,2767.18,2853.23,-86.05,-3.02,0.0,345.9,NONE,NORMAL,NORMAL,0
COST-000443,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 02:00:00,6,209.26,84.07,30.83,76.17,1778.73,4.19,338.41,179.22,222.64,2523.19,2853.23,-330.04,-11.57,0.0,420.53,NONE,NORMAL,NORMAL,0
COST-000444,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 03:00:00,8,241.11,119.24,36.13,79.48,2049.45,4.37,427.22,175.46,269.78,2926.27,2853.23,73.05,2.56,73.05,365.78,NONE,NORMAL,LOW,0
COST-000445,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 04:00:00,7,247.33,116.68,38.82,74.74,2102.27,4.11,415.71,162.26,223.01,2907.36,2853.23,54.14,1.9,54.14,415.34,NONE,NORMAL,LOW,0
COST-000446,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 05:00:00,8,251.29,130.51,36.22,93.76,2135.96,5.16,355.07,195.03,281.67,2972.9,2853.23,119.67,4.19,119.67,371.61,NONE,NORMAL,LOW,0
COST-000447,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 06:00:00,34,426.9,187.68,73.1,108.94,3628.62,5.99,501.32,190.67,280.03,4606.63,4182.18,424.45,10.15,424.45,135.49,NONE,WARNING,MEDIUM,0
COST-000448,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 07:00:00,38,364.79,148.5,65.06,135.71,3100.74,7.46,343.89,195.41,228.11,3875.61,4182.18,-306.56,-7.33,0.0,101.99,NONE,NORMAL,NORMAL,0
COST-000449,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 08:00:00,51,357.11,150.12,47.81,142.48,3035.39,7.84,445.7,182.87,222.73,3894.53,4182.18,-287.65,-6.88,0.0,76.36,NONE,NORMAL,NORMAL,0
COST-000450,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 09:00:00,97,600.19,309.45,82.85,218.51,5101.62,12.02,364.48,163.84,269.17,5911.11,5954.56,-43.45,-0.73,0.0,60.94,NONE,NORMAL,NORMAL,0
COST-000451,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 10:00:00,109,541.64,223.96,83.0,204.81,4603.95,11.26,444.77,192.38,246.34,5498.7,5954.56,-455.86,-7.66,0.0,50.45,NONE,NORMAL,NORMAL,0
COST-000452,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 11:00:00,120,602.7,293.9,99.02,211.02,5122.98,11.61,460.27,184.04,222.3,6001.19,5954.56,46.63,0.78,46.63,50.01,NONE,NORMAL,LOW,0
COST-000453,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 12:00:00,110,576.17,249.32,104.41,216.84,4897.41,11.93,366.45,196.46,290.43,5762.67,5954.56,-191.9,-3.22,0.0,52.39,NONE,NORMAL,NORMAL,0
COST-000454,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 13:00:00,80,574.95,276.6,99.64,245.2,4887.08,13.49,345.94,184.78,280.98,5712.27,5954.56,-242.3,-4.07,0.0,71.4,NONE,NORMAL,NORMAL,0
COST-000455,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 14:00:00,110,666.26,301.21,92.56,180.75,5663.18,9.94,458.79,187.23,266.94,6586.08,5954.56,631.51,10.61,631.51,59.87,NONE,WARNING,HIGH,0
COST-000456,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 15:00:00,93,590.55,253.5,103.89,218.99,5019.69,12.04,388.92,170.09,226.39,5817.13,5954.56,-137.43,-2.31,0.0,62.55,NONE,NORMAL,NORMAL,0
COST-000457,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 16:00:00,99,627.98,286.84,83.54,192.72,5337.8,10.6,405.28,169.05,261.03,6183.76,5954.56,229.19,3.85,229.19,62.46,NONE,NORMAL,MEDIUM,0
COST-000458,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 17:00:00,47,411.02,180.06,79.67,112.77,3493.67,6.2,452.59,168.58,245.89,4366.93,4402.78,-35.85,-0.81,0.0,92.91,NONE,NORMAL,NORMAL,0
COST-000459,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 18:00:00,45,410.96,176.35,56.05,116.56,3493.14,6.41,432.41,164.19,223.41,4319.56,4402.78,-83.22,-1.89,0.0,95.99,NONE,NORMAL,NORMAL,0
COST-000460,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 19:00:00,40,390.1,161.91,57.64,136.84,3315.87,7.53,382.29,179.8,230.49,4115.98,4402.78,-286.8,-6.51,0.0,102.9,NONE,NORMAL,NORMAL,0
COST-000461,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 20:00:00,34,439.83,209.02,82.07,108.12,3738.51,5.95,391.01,167.93,235.13,4538.53,4402.78,135.75,3.08,135.75,133.49,NONE,NORMAL,LOW,0
COST-000462,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 21:00:00,13,275.89,124.79,47.34,91.07,2345.06,5.01,347.32,191.94,234.83,3124.15,3295.55,-171.39,-5.2,0.0,240.32,NONE,NORMAL,NORMAL,0
COST-000463,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 22:00:00,13,301.0,146.22,51.33,72.14,2558.52,3.97,387.88,172.57,241.75,3364.68,3295.55,69.14,2.1,69.14,258.82,NONE,NORMAL,LOW,0
COST-000464,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-10 23:00:00,14,299.26,145.09,52.78,69.9,2543.67,3.84,484.83,191.38,222.48,3446.21,3295.55,150.66,4.57,150.66,246.16,NONE,NORMAL,LOW,0
COST-000465,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 00:00:00,7,245.05,101.93,42.81,74.44,2082.9,4.09,336.16,194.52,222.92,2840.59,2853.23,-12.64,-0.44,0.0,405.8,NONE,NORMAL,NORMAL,0
COST-000466,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 01:00:00,8,265.81,100.76,82.35,68.47,2259.37,3.77,492.53,184.33,283.69,3223.68,2853.23,370.46,12.98,475.45,402.96,EXCESS_LIGHTING,WARNING,MEDIUM,1
COST-000467,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 02:00:00,8,221.88,98.71,42.61,75.79,1886.01,4.17,345.15,168.57,296.29,2700.18,2853.23,-153.04,-5.36,0.0,337.52,NONE,NORMAL,NORMAL,0
COST-000468,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 03:00:00,8,265.55,129.36,41.34,70.41,2257.19,3.87,370.71,173.28,270.61,3075.65,2853.23,222.43,7.8,222.43,384.46,NONE,WARNING,MEDIUM,0
COST-000469,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 04:00:00,9,234.75,116.77,44.08,72.99,1995.35,4.01,360.05,185.68,271.04,2816.14,2853.23,-37.09,-1.3,0.0,312.9,NONE,NORMAL,NORMAL,0
COST-000470,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 05:00:00,9,229.62,114.24,31.18,79.7,1951.81,4.38,417.59,181.65,293.24,2848.68,2853.23,-4.55,-0.16,0.0,316.52,NONE,NORMAL,NORMAL,0
COST-000471,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 06:00:00,48,401.11,173.62,77.75,126.38,3409.47,6.95,374.86,170.77,244.87,4206.92,4182.18,24.74,0.59,24.74,87.64,NONE,NORMAL,LOW,0
COST-000472,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 07:00:00,46,389.61,159.78,69.27,129.14,3311.67,7.1,494.52,193.37,243.58,4250.23,4182.18,68.06,1.63,68.06,92.4,NONE,NORMAL,LOW,0
COST-000473,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 08:00:00,50,406.09,210.51,69.79,132.91,3451.8,7.31,443.24,173.06,288.06,4363.46,4182.18,181.29,4.33,181.29,87.27,NONE,NORMAL,LOW,0
COST-000474,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 09:00:00,98,620.57,295.59,98.13,226.71,5274.83,12.47,387.72,179.18,282.86,6137.06,5954.56,182.5,3.06,182.5,62.62,NONE,NORMAL,LOW,0
COST-000475,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 10:00:00,103,625.95,285.59,112.29,197.11,5320.56,10.84,387.46,173.74,226.53,6119.13,5954.56,164.57,2.76,164.57,59.41,NONE,NORMAL,LOW,0
COST-000476,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 11:00:00,100,636.08,272.22,113.64,203.91,5406.65,11.22,481.07,166.76,297.25,6362.95,5954.56,408.38,6.86,408.38,63.63,NONE,WARNING,MEDIUM,0
COST-000477,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 12:00:00,104,603.48,245.46,89.25,188.61,5129.57,10.37,413.72,163.2,230.51,5947.37,5954.56,-7.2,-0.12,0.0,57.19,NONE,NORMAL,NORMAL,0
COST-000478,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 13:00:00,106,569.91,255.1,93.0,208.08,4844.22,11.44,482.02,181.08,257.5,5776.27,5954.56,-178.29,-2.99,0.0,54.49,NONE,NORMAL,NORMAL,0
COST-000479,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 14:00:00,118,583.39,296.02,110.69,196.08,4958.83,10.78,343.74,195.51,272.54,5781.4,5954.56,-173.16,-2.91,0.0,48.99,NONE,NORMAL,NORMAL,0
COST-000480,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 15:00:00,109,562.85,282.26,83.4,351.83,4784.25,19.35,370.31,177.07,238.13,5589.12,5954.56,-365.44,-6.14,3.87,51.28,HIGH_WATER_USAGE,NORMAL,LOW,1
COST-000481,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 16:00:00,110,626.45,263.19,86.72,212.76,5324.8,11.7,408.33,166.29,260.97,6172.09,5954.56,217.52,3.65,217.52,56.11,NONE,NORMAL,MEDIUM,0
COST-000482,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 17:00:00,40,380.08,180.37,68.53,108.56,3230.68,5.97,341.98,197.8,239.15,4015.58,4402.78,-387.2,-8.79,0.0,100.39,NONE,NORMAL,NORMAL,0
COST-000483,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 18:00:00,41,402.79,199.9,61.98,142.03,3423.68,7.81,480.72,193.18,221.77,4327.16,4402.78,-75.62,-1.72,0.0,105.54,NONE,NORMAL,NORMAL,0
COST-000484,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 19:00:00,39,409.81,212.55,67.14,138.08,3483.42,7.59,462.77,170.95,262.99,4387.73,4402.78,-15.05,-0.34,0.0,112.51,NONE,NORMAL,NORMAL,0
COST-000485,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 20:00:00,43,399.61,176.42,52.15,109.24,3396.72,6.01,392.67,191.79,221.05,4208.24,4402.78,-194.54,-4.42,0.0,97.87,NONE,NORMAL,NORMAL,0
COST-000486,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 21:00:00,11,264.7,113.3,35.67,77.43,2249.97,4.26,429.33,172.49,253.56,3109.61,3295.55,-185.93,-5.64,0.0,282.69,NONE,NORMAL,NORMAL,0
COST-000487,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 22:00:00,13,279.97,142.4,46.06,77.87,2379.72,4.28,346.12,172.72,244.25,3147.08,3295.55,-148.46,-4.5,0.0,242.08,NONE,NORMAL,NORMAL,0
COST-000488,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-11 23:00:00,12,267.57,132.17,37.08,79.39,2274.34,4.37,356.81,164.54,291.94,3091.99,3295.55,-203.55,-6.18,0.0,257.67,NONE,NORMAL,NORMAL,0
COST-000489,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-09-12 00:00:00,8,226.34,105.33,30.66,75.6,1923.87,4.16,338.22,180.42,281.02,2727.69,2853.23,-125.54,-4.4,0.0,340.96,NONE,NORMAL,NORMAL,0
